animal,distance [m],run time [s],Time in Inner Region [s],Time in Outer Region [s],Inner Region Percentage [%],Outer Region Percentage [%]
Example_Trial2,0.00,0.03,0.00,0.03,0.00,100.0
Example_Trial2,0.00,0.07,0.00,0.07,0.00,100.0
Example_Trial2,0.03,0.10,0.00,0.10,0.00,100.0
Example_Trial2,0.04,0.13,0.00,0.13,0.00,100.0
Example_Trial2,0.06,0.17,0.03,0.13,20.00,80.0
Example_Trial2,0.10,0.20,0.07,0.13,33.33,66.7
Example_Trial2,0.15,0.23,0.07,0.17,28.57,71.4
Example_Trial2,0.20,0.27,0.07,0.20,25.00,75.0
Example_Trial2,0.20,0.30,0.07,0.23,22.22,77.8
Example_Trial2,0.29,0.33,0.07,0.27,20.00,80.0
Example_Trial2,0.35,0.37,0.07,0.30,18.18,81.8
Example_Trial2,0.40,0.40,0.07,0.33,16.67,83.3
Example_Trial2,0.77,0.43,0.10,0.33,23.08,76.9
Example_Trial2,0.77,0.47,0.13,0.33,28.57,71.4
Example_Trial2,0.79,0.50,0.17,0.33,33.33,66.7
Example_Trial2,0.81,0.53,0.20,0.33,37.50,62.5
Example_Trial2,0.83,0.57,0.23,0.33,41.18,58.8
Example_Trial2,0.86,0.60,0.27,0.33,44.44,55.6
Example_Trial2,0.88,0.63,0.30,0.33,47.37,52.6
Example_Trial2,0.90,0.67,0.33,0.33,50.00,50.0
Example_Trial2,0.90,0.70,0.37,0.33,52.38,47.6
Example_Trial2,0.92,0.73,0.40,0.33,54.55,45.5
Example_Trial2,0.94,0.77,0.43,0.33,56.52,43.5
Example_Trial2,0.96,0.80,0.47,0.33,58.33,41.7
Example_Trial2,0.98,0.83,0.50,0.33,60.00,40.0
Example_Trial2,0.98,0.87,0.53,0.33,61.54,38.5
Example_Trial2,1.00,0.90,0.53,0.37,59.26,40.7
Example_Trial2,1.02,0.93,0.53,0.40,57.14,42.9
Example_Trial2,1.05,0.97,0.53,0.43,55.17,44.8
Example_Trial2,1.07,1.00,0.53,0.47,53.33,46.7
Example_Trial2,1.08,1.03,0.53,0.50,51.61,48.4
Example_Trial2,1.10,1.07,0.53,0.53,50.00,50.0
Example_Trial2,1.10,1.10,0.53,0.57,48.48,51.5
Example_Trial2,1.11,1.13,0.53,0.60,47.06,52.9
Example_Trial2,1.13,1.17,0.53,0.63,45.71,54.3
Example_Trial2,1.14,1.20,0.53,0.67,44.44,55.6
Example_Trial2,1.15,1.23,0.53,0.70,43.24,56.8
Example_Trial2,1.15,1.27,0.53,0.73,42.11,57.9
Example_Trial2,1.15,1.30,0.53,0.77,41.03,59.0
Example_Trial2,1.16,1.33,0.53,0.80,40.00,60.0
Example_Trial2,1.17,1.37,0.53,0.83,39.02,61.0
Example_Trial2,1.17,1.40,0.53,0.87,38.10,61.9
Example_Trial2,1.17,1.43,0.53,0.90,37.21,62.8
Example_Trial2,1.18,1.47,0.53,0.93,36.36,63.6
Example_Trial2,1.18,1.50,0.53,0.97,35.56,64.4
Example_Trial2,1.18,1.53,0.53,1.00,34.78,65.2
Example_Trial2,1.19,1.57,0.53,1.03,34.04,66.0
Example_Trial2,1.19,1.60,0.53,1.07,33.33,66.7
Example_Trial2,1.20,1.63,0.53,1.10,32.65,67.3
Example_Trial2,1.20,1.67,0.53,1.13,32.00,68.0
Example_Trial2,1.20,1.70,0.53,1.17,31.37,68.6
Example_Trial2,1.21,1.73,0.53,1.20,30.77,69.2
Example_Trial2,1.22,1.77,0.53,1.23,30.19,69.8
Example_Trial2,1.23,1.80,0.53,1.27,29.63,70.4
Example_Trial2,1.23,1.83,0.53,1.30,29.09,70.9
Example_Trial2,1.24,1.87,0.53,1.33,28.57,71.4
Example_Trial2,1.24,1.90,0.53,1.37,28.07,71.9
Example_Trial2,1.24,1.93,0.53,1.40,27.59,72.4
Example_Trial2,1.25,1.97,0.53,1.43,27.12,72.9
Example_Trial2,1.26,2.00,0.53,1.47,26.67,73.3
Example_Trial2,1.27,2.03,0.53,1.50,26.23,73.8
Example_Trial2,1.27,2.07,0.53,1.53,25.81,74.2
Example_Trial2,1.28,2.10,0.53,1.57,25.40,74.6
Example_Trial2,1.30,2.13,0.53,1.60,25.00,75.0
Example_Trial2,1.32,2.17,0.53,1.63,24.62,75.4
Example_Trial2,1.33,2.20,0.53,1.67,24.24,75.8
Example_Trial2,1.35,2.23,0.53,1.70,23.88,76.1
Example_Trial2,1.36,2.27,0.53,1.73,23.53,76.5
Example_Trial2,1.36,2.30,0.53,1.77,23.19,76.8
Example_Trial2,1.37,2.33,0.53,1.80,22.86,77.1
Example_Trial2,1.38,2.37,0.53,1.83,22.54,77.5
Example_Trial2,1.39,2.40,0.53,1.87,22.22,77.8
Example_Trial2,1.40,2.43,0.53,1.90,21.92,78.1
Example_Trial2,1.40,2.47,0.53,1.93,21.62,78.4
Example_Trial2,1.41,2.50,0.53,1.97,21.33,78.7
Example_Trial2,1.43,2.53,0.53,2.00,21.05,78.9
Example_Trial2,1.44,2.57,0.53,2.03,20.78,79.2
Example_Trial2,1.46,2.60,0.53,2.07,20.51,79.5
Example_Trial2,1.47,2.63,0.53,2.10,20.25,79.7
Example_Trial2,1.52,2.67,0.53,2.13,20.00,80.0
Example_Trial2,1.52,2.70,0.53,2.17,19.75,80.2
Example_Trial2,1.66,4.50,0.53,2.20,11.85,48.9
Example_Trial2,1.70,4.53,0.53,2.23,11.76,49.3
Example_Trial2,1.75,4.57,0.53,2.27,11.68,49.6
Example_Trial2,1.83,4.60,0.53,2.30,11.59,50.0
Example_Trial2,1.90,4.63,0.53,2.33,11.51,50.4
Example_Trial2,1.97,4.67,0.53,2.37,11.43,50.7
Example_Trial2,1.97,4.70,0.53,2.40,11.35,51.1
Example_Trial2,2.04,4.73,0.53,2.43,11.27,51.4
Example_Trial2,2.10,4.77,0.53,2.47,11.19,51.7
Example_Trial2,2.14,4.80,0.53,2.50,11.11,52.1
Example_Trial2,2.17,4.83,0.53,2.53,11.03,52.4
Example_Trial2,2.17,4.87,0.53,2.57,10.96,52.7
Example_Trial2,2.54,5.03,0.53,2.60,10.60,51.7
Example_Trial2,3.06,5.23,0.53,2.63,10.19,50.3
Example_Trial2,3.06,5.27,0.53,2.67,10.13,50.6
Example_Trial2,3.13,5.30,0.53,2.70,10.06,50.9
Example_Trial2,3.16,5.33,0.53,2.73,10.00,51.3
Example_Trial2,3.23,5.37,0.53,2.77,9.94,51.6
Example_Trial2,3.30,5.40,0.57,2.77,10.49,51.2
Example_Trial2,3.36,5.43,0.60,2.77,11.04,50.9
Example_Trial2,3.44,5.47,0.63,2.77,11.59,50.6
Example_Trial2,3.44,5.50,0.67,2.77,12.12,50.3
Example_Trial2,3.51,5.53,0.67,2.80,12.05,50.6
Example_Trial2,3.57,5.57,0.67,2.83,11.98,50.9
Example_Trial2,3.61,5.60,0.67,2.87,11.90,51.2
Example_Trial2,3.81,6.43,0.67,2.90,10.36,45.1
Example_Trial2,3.81,6.47,0.67,2.93,10.31,45.4
Example_Trial2,3.84,6.50,0.67,2.97,10.26,45.6
Example_Trial2,3.88,6.53,0.67,3.00,10.20,45.9
Example_Trial2,3.95,6.57,0.70,3.00,10.66,45.7
Example_Trial2,4.01,6.60,0.73,3.00,11.11,45.5
Example_Trial2,4.07,6.63,0.77,3.00,11.56,45.2
Example_Trial2,4.12,6.67,0.80,3.00,12.00,45.0
Example_Trial2,4.12,6.70,0.83,3.00,12.44,44.8
Example_Trial2,4.17,6.73,0.83,3.03,12.38,45.0
Example_Trial2,4.21,6.77,0.83,3.07,12.32,45.3
Example_Trial2,4.25,6.80,0.83,3.10,12.25,45.6
Example_Trial2,4.27,6.83,0.83,3.13,12.20,45.9
Example_Trial2,4.27,6.87,0.83,3.17,12.14,46.1
Example_Trial2,4.28,6.90,0.83,3.20,12.08,46.4
Example_Trial2,4.29,6.93,0.83,3.23,12.02,46.6
Example_Trial2,4.30,6.97,0.83,3.27,11.96,46.9
Example_Trial2,4.32,7.00,0.83,3.30,11.90,47.1
Example_Trial2,4.34,7.03,0.83,3.33,11.85,47.4
Example_Trial2,4.38,7.07,0.83,3.37,11.79,47.6
Example_Trial2,4.38,7.10,0.83,3.40,11.74,47.9
Example_Trial2,4.42,7.13,0.87,3.40,12.15,47.7
Example_Trial2,4.46,7.17,0.90,3.40,12.56,47.4
Example_Trial2,4.50,7.20,0.93,3.40,12.96,47.2
