animal,distance [m],run time [s],Time in Inner Region [s],Time in Outer Region [s],Inner Region Percentage [%],Outer Region Percentage [%]
Example_Trial2,4.53,7.23,0.97,3.40,13.36,47.0
Example_Trial2,4.53,7.27,1.00,3.40,13.76,46.8
Example_Trial2,4.56,7.30,1.03,3.40,14.16,46.6
Example_Trial2,4.59,7.33,1.07,3.40,14.55,46.4
Example_Trial2,4.62,7.37,1.10,3.40,14.93,46.2
Example_Trial2,4.64,7.40,1.13,3.40,15.32,45.9
Example_Trial2,4.67,7.43,1.13,3.43,15.25,46.2
Example_Trial2,4.69,7.47,1.13,3.47,15.18,46.4
Example_Trial2,4.69,7.50,1.13,3.50,15.11,46.7
Example_Trial2,4.71,7.53,1.13,3.53,15.04,46.9
Example_Trial2,4.73,7.57,1.13,3.57,14.98,47.1
Example_Trial2,4.75,7.60,1.13,3.60,14.91,47.4
Example_Trial2,4.77,7.63,1.13,3.63,14.85,47.6
Example_Trial2,4.77,7.67,1.13,3.67,14.78,47.8
Example_Trial2,4.77,7.70,1.13,3.70,14.72,48.1
Example_Trial2,4.79,7.73,1.13,3.73,14.66,48.3
Example_Trial2,4.80,7.77,1.13,3.77,14.59,48.5
Example_Trial2,4.81,7.80,1.13,3.80,14.53,48.7
Example_Trial2,4.82,7.83,1.13,3.83,14.47,48.9
Example_Trial2,4.83,7.87,1.13,3.87,14.41,49.2
Example_Trial2,4.83,7.90,1.13,3.90,14.35,49.4
Example_Trial2,4.84,7.93,1.13,3.93,14.29,49.6
Example_Trial2,4.85,7.97,1.13,3.97,14.23,49.8
Example_Trial2,4.86,8.00,1.13,4.00,14.17,50.0
Example_Trial2,4.87,8.03,1.13,4.03,14.11,50.2
Example_Trial2,4.87,8.07,1.13,4.07,14.05,50.4
Example_Trial2,4.88,8.10,1.13,4.10,13.99,50.6
Example_Trial2,4.90,8.13,1.13,4.13,13.93,50.8
Example_Trial2,4.91,8.17,1.13,4.17,13.88,51.0
Example_Trial2,4.92,8.20,1.13,4.20,13.82,51.2
Example_Trial2,4.93,8.23,1.13,4.23,13.77,51.4
Example_Trial2,4.93,8.27,1.13,4.27,13.71,51.6
Example_Trial2,4.93,8.30,1.13,4.30,13.65,51.8
Example_Trial2,4.94,8.33,1.13,4.33,13.60,52.0
Example_Trial2,4.94,8.37,1.13,4.37,13.55,52.2
Example_Trial2,4.95,8.40,1.13,4.40,13.49,52.4
Example_Trial2,4.96,8.43,1.13,4.43,13.44,52.6
Example_Trial2,4.96,8.47,1.13,4.47,13.39,52.8
Example_Trial2,4.96,8.50,1.13,4.50,13.33,52.9
Example_Trial2,4.96,8.53,1.13,4.53,13.28,53.1
Example_Trial2,4.97,8.57,1.13,4.57,13.23,53.3
Example_Trial2,4.97,8.60,1.13,4.60,13.18,53.5
Example_Trial2,4.98,8.63,1.13,4.63,13.13,53.7
Example_Trial2,4.98,8.67,1.13,4.67,13.08,53.8
Example_Trial2,4.98,8.70,1.13,4.70,13.03,54.0
Example_Trial2,4.99,8.73,1.13,4.73,12.98,54.2
Example_Trial2,5.01,8.77,1.13,4.77,12.93,54.4
Example_Trial2,5.02,8.80,1.13,4.80,12.88,54.5
Example_Trial2,5.04,8.83,1.13,4.83,12.83,54.7
Example_Trial2,5.04,8.87,1.13,4.87,12.78,54.9
Example_Trial2,5.05,8.90,1.13,4.90,12.73,55.1
Example_Trial2,5.08,8.93,1.13,4.93,12.69,55.2
Example_Trial2,5.10,8.97,1.13,4.97,12.64,55.4
Example_Trial2,5.12,9.00,1.13,5.00,12.59,55.6
Example_Trial2,5.14,9.03,1.17,5.00,12.92,55.4
Example_Trial2,5.17,9.07,1.20,5.00,13.24,55.1
Example_Trial2,5.17,9.10,1.23,5.00,13.55,54.9
Example_Trial2,5.19,9.13,1.27,5.00,13.87,54.7
Example_Trial2,5.22,9.17,1.30,5.00,14.18,54.5
Example_Trial2,5.24,9.20,1.33,5.00,14.49,54.3
Example_Trial2,5.26,9.23,1.37,5.00,14.80,54.2
Example_Trial2,5.26,9.27,1.40,5.00,15.11,54.0
Example_Trial2,5.29,9.30,1.43,5.00,15.41,53.8
Example_Trial2,5.30,9.33,1.47,5.00,15.71,53.6
Example_Trial2,5.32,9.37,1.50,5.00,16.01,53.4
Example_Trial2,5.34,9.40,1.53,5.00,16.31,53.2
Example_Trial2,5.35,9.43,1.57,5.00,16.61,53.0
Example_Trial2,5.36,9.47,1.60,5.00,16.90,52.8
Example_Trial2,5.36,9.50,1.63,5.00,17.19,52.6
Example_Trial2,5.37,9.53,1.63,5.03,17.13,52.8
Example_Trial2,5.38,9.57,1.63,5.07,17.07,53.0
Example_Trial2,5.39,9.60,1.63,5.10,17.01,53.1
Example_Trial2,5.39,9.63,1.63,5.13,16.96,53.3
Example_Trial2,5.39,9.67,1.63,5.17,16.90,53.4
Example_Trial2,5.39,9.70,1.63,5.20,16.84,53.6
Example_Trial2,5.39,9.73,1.63,5.23,16.78,53.8
Example_Trial2,5.40,9.77,1.63,5.27,16.72,53.9
Example_Trial2,5.40,9.80,1.63,5.30,16.67,54.1
Example_Trial2,5.41,9.83,1.67,5.30,16.95,53.9
Example_Trial2,5.41,9.87,1.70,5.30,17.23,53.7
Example_Trial2,5.41,9.90,1.73,5.30,17.51,53.5
Example_Trial2,5.42,9.93,1.77,5.30,17.79,53.4
Example_Trial2,5.42,9.97,1.80,5.30,18.06,53.2
Example_Trial2,5.42,10.00,1.83,5.30,18.33,53.0
Example_Trial2,5.43,10.03,1.87,5.30,18.60,52.8
Example_Trial2,5.43,10.07,1.90,5.30,18.87,52.6
Example_Trial2,5.43,10.10,1.93,5.30,19.14,52.5
Example_Trial2,5.43,10.13,1.97,5.30,19.41,52.3
Example_Trial2,5.44,10.17,2.00,5.30,19.67,52.1
Example_Trial2,5.44,10.20,2.03,5.30,19.93,52.0
Example_Trial2,5.45,10.23,2.07,5.30,20.20,51.8
Example_Trial2,5.46,10.27,2.10,5.30,20.45,51.6
Example_Trial2,5.46,10.30,2.13,5.30,20.71,51.5
Example_Trial2,5.47,10.33,2.17,5.30,20.97,51.3
Example_Trial2,5.48,10.37,2.20,5.30,21.22,51.1
Example_Trial2,5.49,10.40,2.23,5.30,21.47,51.0
Example_Trial2,5.50,10.43,2.27,5.30,21.73,50.8
Example_Trial2,5.50,10.47,2.30,5.30,21.97,50.6
Example_Trial2,5.50,10.50,2.33,5.30,22.22,50.5
Example_Trial2,5.51,10.53,2.37,5.30,22.47,50.3
Example_Trial2,5.52,10.57,2.40,5.30,22.71,50.2
Example_Trial2,5.53,10.60,2.43,5.30,22.96,50.0
Example_Trial2,5.54,10.63,2.47,5.30,23.20,49.8
Example_Trial2,5.55,10.67,2.50,5.30,23.44,49.7
Example_Trial2,5.55,10.70,2.53,5.30,23.68,49.5
Example_Trial2,5.55,10.73,2.57,5.30,23.91,49.4
Example_Trial2,5.56,10.77,2.60,5.30,24.15,49.2
Example_Trial2,5.56,10.80,2.63,5.30,24.38,49.1
Example_Trial2,5.56,10.83,2.67,5.30,24.62,48.9
Example_Trial2,5.56,10.87,2.70,5.30,24.85,48.8
Example_Trial2,5.56,10.90,2.73,5.30,25.08,48.6
Example_Trial2,5.56,10.93,2.77,5.30,25.30,48.5
Example_Trial2,5.56,10.97,2.80,5.30,25.53,48.3
Example_Trial2,5.56,11.00,2.83,5.30,25.76,48.2
Example_Trial2,5.56,11.03,2.87,5.30,25.98,48.0
Example_Trial2,5.56,11.07,2.90,5.30,26.20,47.9
Example_Trial2,5.56,11.10,2.93,5.30,26.43,47.7
Example_Trial2,5.56,11.13,2.97,5.30,26.65,47.6
Example_Trial2,5.56,11.17,3.00,5.30,26.87,47.5
Example_Trial2,5.56,11.20,3.03,5.30,27.08,47.3
Example_Trial2,5.56,11.23,3.07,5.30,27.30,47.2
Example_Trial2,5.56,11.27,3.10,5.30,27.51,47.0
Example_Trial2,5.57,11.30,3.13,5.30,27.73,46.9
Example_Trial2,5.57,11.33,3.17,5.30,27.94,46.8
Example_Trial2,5.57,11.37,3.20,5.30,28.15,46.6
Example_Trial2,5.57,11.40,3.23,5.30,28.36,46.5
Example_Trial2,5.57,11.43,3.27,5.30,28.57,46.4
Example_Trial2,5.57,11.47,3.30,5.30,28.78,46.2
Example_Trial2,5.57,11.50,3.33,5.30,28.99,46.1
Example_Trial2,5.57,11.53,3.37,5.30,29.19,46.0
Example_Trial2,5.57,11.57,3.40,5.30,29.39,45.8
Example_Trial2,5.57,11.60,3.43,5.30,29.60,45.7
Example_Trial2,5.57,11.63,3.47,5.30,29.80,45.6
Example_Trial2,5.57,11.67,3.50,5.30,30.00,45.4
Example_Trial2,5.57,11.70,3.53,5.30,30.20,45.3
Example_Trial2,5.57,11.73,3.57,5.30,30.40,45.2
Example_Trial2,5.57,11.77,3.60,5.30,30.59,45.0
Example_Trial2,5.57,11.80,3.63,5.30,30.79,44.9
Example_Trial2,5.57,11.83,3.67,5.30,30.99,44.8
Example_Trial2,5.57,11.87,3.70,5.30,31.18,44.7
Example_Trial2,5.57,11.90,3.73,5.30,31.37,44.5
Example_Trial2,5.57,11.93,3.77,5.30,31.56,44.4
Example_Trial2,5.57,11.97,3.80,5.30,31.75,44.3
Example_Trial2,5.57,12.00,3.83,5.30,31.94,44.2
Example_Trial2,5.57,12.03,3.87,5.30,32.13,44.0
Example_Trial2,5.57,12.07,3.90,5.30,32.32,43.9
Example_Trial2,5.57,12.10,3.93,5.30,32.51,43.8
Example_Trial2,5.57,12.13,3.97,5.30,32.69,43.7
Example_Trial2,5.57,12.17,4.00,5.30,32.88,43.6
Example_Trial2,5.58,12.20,4.03,5.30,33.06,43.4
Example_Trial2,5.58,12.23,4.07,5.30,33.24,43.3
Example_Trial2,5.58,12.27,4.10,5.30,33.42,43.2
Example_Trial2,5.58,12.30,4.13,5.30,33.60,43.1
Example_Trial2,5.58,12.33,4.17,5.30,33.78,43.0
Example_Trial2,5.58,12.37,4.20,5.30,33.96,42.9
Example_Trial2,5.58,12.40,4.23,5.30,34.14,42.7
Example_Trial2,5.58,12.43,4.27,5.30,34.32,42.6
Example_Trial2,5.58,12.47,4.30,5.30,34.49,42.5
Example_Trial2,5.58,12.50,4.33,5.30,34.67,42.4
Example_Trial2,5.58,12.53,4.37,5.30,34.84,42.3
Example_Trial2,5.58,12.57,4.40,5.30,35.01,42.2
Example_Trial2,5.58,12.60,4.43,5.30,35.19,42.1
Example_Trial2,5.58,12.63,4.47,5.30,35.36,42.0
Example_Trial2,5.58,12.67,4.50,5.30,35.53,41.8
Example_Trial2,5.58,12.70,4.53,5.30,35.70,41.7
Example_Trial2,5.58,12.73,4.57,5.30,35.86,41.6
Example_Trial2,5.58,12.77,4.60,5.30,36.03,41.5
Example_Trial2,5.58,12.80,4.63,5.30,36.20,41.4
Example_Trial2,5.58,12.83,4.67,5.30,36.36,41.3
Example_Trial2,5.58,12.87,4.70,5.30,36.53,41.2
Example_Trial2,5.58,12.90,4.73,5.30,36.69,41.1
Example_Trial2,5.58,12.93,4.77,5.30,36.86,41.0
Example_Trial2,5.58,12.97,4.80,5.30,37.02,40.9
Example_Trial2,5.58,13.00,4.83,5.30,37.18,40.8
Example_Trial2,5.58,13.03,4.87,5.30,37.34,40.7
Example_Trial2,5.58,13.07,4.90,5.30,37.50,40.6
Example_Trial2,5.58,13.10,4.93,5.30,37.66,40.5
Example_Trial2,5.58,13.13,4.97,5.30,37.82,40.4
Example_Trial2,5.58,13.17,5.00,5.30,37.97,40.3
Example_Trial2,5.58,13.20,5.03,5.30,38.13,40.2
Example_Trial2,5.58,13.23,5.07,5.30,38.29,40.1
Example_Trial2,5.58,13.27,5.10,5.30,38.44,39.9
Example_Trial2,5.58,13.30,5.13,5.30,38.60,39.8
Example_Trial2,5.58,13.33,5.17,5.30,38.75,39.7
Example_Trial2,5.58,13.37,5.20,5.30,38.90,39.7
Example_Trial2,5.58,13.40,5.23,5.30,39.05,39.6
Example_Trial2,5.58,13.43,5.27,5.30,39.21,39.5
Example_Trial2,5.58,13.47,5.30,5.30,39.36,39.4
Example_Trial2,5.58,13.50,5.33,5.30,39.51,39.3
Example_Trial2,5.58,13.53,5.37,5.30,39.66,39.2
Example_Trial2,5.58,13.57,5.40,5.30,39.80,39.1
Example_Trial2,5.58,13.60,5.43,5.30,39.95,39.0
Example_Trial2,5.58,13.63,5.47,5.30,40.10,38.9
Example_Trial2,5.58,13.67,5.50,5.30,40.24,38.8
Example_Trial2,5.59,13.70,5.53,5.30,40.39,38.7
Example_Trial2,5.59,13.73,5.57,5.30,40.53,38.6
Example_Trial2,5.59,13.77,5.60,5.30,40.68,38.5
Example_Trial2,5.59,13.80,5.63,5.30,40.82,38.4
Example_Trial2,5.59,13.83,5.67,5.30,40.96,38.3
Example_Trial2,5.59,13.87,5.70,5.30,41.11,38.2
Example_Trial2,5.59,13.90,5.73,5.30,41.25,38.1
Example_Trial2,5.59,13.93,5.77,5.30,41.39,38.0
Example_Trial2,5.59,13.97,5.80,5.30,41.53,37.9
Example_Trial2,5.59,14.00,5.83,5.30,41.67,37.9
Example_Trial2,5.59,14.03,5.87,5.30,41.81,37.8
Example_Trial2,5.59,14.07,5.90,5.30,41.94,37.7
Example_Trial2,5.60,14.10,5.93,5.30,42.08,37.6
Example_Trial2,5.60,14.13,5.97,5.30,42.22,37.5
Example_Trial2,5.61,14.17,6.00,5.30,42.35,37.4
Example_Trial2,5.62,14.20,6.03,5.30,42.49,37.3
Example_Trial2,5.63,14.23,6.07,5.30,42.62,37.2
Example_Trial2,5.64,14.27,6.10,5.30,42.76,37.1
Example_Trial2,5.64,14.30,6.13,5.30,42.89,37.1
Example_Trial2,5.64,14.33,6.17,5.30,43.02,37.0
Example_Trial2,5.64,14.37,6.20,5.30,43.16,36.9
Example_Trial2,5.64,14.40,6.23,5.30,43.29,36.8
Example_Trial2,5.64,14.43,6.27,5.30,43.42,36.7
Example_Trial2,5.64,14.47,6.30,5.30,43.55,36.6
Example_Trial2,5.64,14.50,6.33,5.30,43.68,36.6
Example_Trial2,5.65,14.53,6.37,5.30,43.81,36.5
Example_Trial2,5.65,14.57,6.40,5.30,43.94,36.4
Example_Trial2,5.65,14.60,6.43,5.30,44.06,36.3
Example_Trial2,5.66,14.63,6.47,5.30,44.19,36.2
Example_Trial2,5.66,14.67,6.50,5.30,44.32,36.1
Example_Trial2,5.66,14.70,6.53,5.30,44.44,36.1
